"Nombre","Precio","Category"
"Chevrolet Aveo 4dr",11690,"BAJO"
"Chevrolet Aveo LS 4dr hatch",12585,"BAJO"
"Chevrolet Cavalier 2dr",14610,"BAJO"
"Chevrolet Cavalier 4dr",14810,"BAJO"
"Chevrolet Cavalier LS 2dr",16385,"BAJO"
"Dodge Neon SE 4dr",13670,"BAJO"
"Dodge Neon SXT 4dr",15040,"BAJO"
"Ford Focus ZX3 2dr hatch",13270,"BAJO"
"Ford Focus LX 4dr",13730,"BAJO"
"Ford Focus SE 4dr",15460,"BAJO"
"Ford Focus ZX5 5dr",15580,"BAJO"
"Honda Civic DX 2dr",13270,"BAJO"
"Honda Civic HX 2dr",14170,"BAJO"
"Honda Civic LX 4dr",15850,"BAJO"
"Hyundai Accent 2dr hatch",10539,"BAJO"
"Hyundai Accent GL 4dr",11839,"BAJO"
"Hyundai Accent GT 2dr hatch",11939,"BAJO"
"Hyundai Elantra GLS 4dr",13839,"BAJO"
"Hyundai Elantra GT 4dr",15389,"BAJO"
"Hyundai Elantra GT 4dr hatch",15389,"BAJO"
"Kia Optima LX 4dr",16040,"BAJO"
"Kia Rio 4dr manual",10280,"BAJO"
"Kia Rio 4dr auto",11155,"BAJO"
"Kia Spectra 4dr",12360,"BAJO"
"Kia Spectra GS 4dr hatch",13580,"BAJO"
"Kia Spectra GSX 4dr hatch",14630,"BAJO"
"Mazda3 i 4dr",15500,"BAJO"
"Mini Cooper",16999,"BAJO"
"Mitsubishi Lancer ES 4dr",14622,"BAJO"
"Mitsubishi Lancer LS 4dr",16722,"BAJO"
"Nissan Sentra 1.8 4dr",12740,"BAJO"
"Nissan Sentra 1.8 S 4dr",14740,"BAJO"
"Pontiac Sunfire 1SA 2dr",15495,"BAJO"
"Saturn Ion1 4dr",10995,"BAJO"
"Saturn lon2 4dr",14300,"BAJO"
"Saturn lon3 4dr",15825,"BAJO"
"Saturn lon2 quad coupe 2dr",14850,"BAJO"
"Saturn lon3 quad coupe 2dr",16350,"BAJO"
"Scion xA 4dr hatch",12965,"BAJO"
"Suzuki Aeno S 4dr",12884,"BAJO"
"Suzuki Aerio LX 4dr",14500,"BAJO"
"Suzuki Forenza S 4dr",12269,"BAJO"
"Suzuki Forenza EX 4dr",15568,"BAJO"
"Toyota Corolla CE 4dr",14085,"BAJO"
"Toyota Corolla S 4dr",15030,"BAJO"
"Toyota Corolla LE 4dr",15295,"BAJO"
"Toyota Echo 2dr manual",10760,"BAJO"
"Toyota Echo 2dr auto",11560,"BAJO"
"Toyota Echo 4dr",11290,"BAJO"
"Buick Century Custom 4dr",22180,"MODERADO"
"Chevrolet Impala 4dr",21900,"MODERADO"
"Chevrolet Malibu 4dr",18995,"BAJO"
"Chevrolet Malibu LS 4dr",20370,"MODERADO"
"Chevrolet Monte Carlo LS 2dr",21825,"MODERADO"
"Chrysler PT Cruiser 4dr",17985,"BAJO"
"Chrysler PT Cruiser Limited 4dr",22000,"MODERADO"
"Chrysler Sebring 4dr",19090,"BAJO"
"Chrysler Sebring Touring 4dr",21840,"MODERADO"
"Dodge Intrepid SE 4dr",22035,"MODERADO"
"Dodge Stratus SXT 4dr",18820,"BAJO"
"Dodge Stratus SE 4dr",20220,"MODERADO"
"Ford Focus SVT 2dr",19135,"BAJO"
"Ford Taurus LX 4dr",20320,"MODERADO"
"Ford Taurus SES Duratec 4dr",22735,"MODERADO"
"Honda Accord LX 2dr",19860,"BAJO"
"Honda Accord EX 2dr",22260,"MODERADO"
"Honda Civic EX 4dr",17750,"BAJO"
"Honda Civic Si 2dr hatch",19490,"BAJO"
"Honda Civic Hybrid 4dr manual (gas/electric)",20140,"MODERADO"
"Honda Insight 2dr (gas/electric)",19110,"BAJO"
"Hyundai Sonata GLS 4dr",19339,"BAJO"
"Hyundai Sonata LX 4dr",20339,"MODERADO"
"Kia Optima LX V6 4dr",18435,"BAJO"
"Mazda3 s 4dr",17200,"BAJO"
"Mazda6 i 4dr",19270,"BAJO"
"Mercury Sable GS 4dr",21595,"MODERADO"
"Mini Cooper S",19999,"BAJO"
"Mitsubishi Galant ES 2.4L 4dr",19312,"BAJO"
"Mitsubishi Lancer OZ Rally 4dr auto",17232,"BAJO"
"Nissan Altima S 4dr",19240,"BAJO"
"Nissan Sentra SE-R 4dr",17640,"BAJO"
"Oldsmobile Alero GX 2dr",18825,"BAJO"
"Pontiac Grand Am GT 2dr",22450,"MODERADO"
"Pontiac Grand Prix GT1 4dr",22395,"MODERADO"
"Pontiac Sunfire 1SC 2dr",17735,"BAJO"
"Saturn L300-2 4dr",21410,"MODERADO"
"Subaru Impreza 2.5 RS 4dr",19945,"BAJO"
"Subaru Legacy L 4dr",20445,"MODERADO"
"Suzuki Verona LX 4dr",17262,"BAJO"
"Toyota Camry LE 4dr",19560,"BAJO"
"Toyota Camry LE V6 4dr",22775,"MODERADO"
"Toyota Camry Solara SE 2dr",19635,"BAJO"
"Toyota Camry Solara SE V6 2dr",21965,"MODERADO"
"Toyota Prius 4dr (gas/electric)",20510,"MODERADO"
"Volkswagen Golf GLS 4dr",18715,"BAJO"
"Volkswagen GTI 1.8T 2dr hatch",19825,"BAJO"
"Volkswagen Jetta GLS TDI 4dr",21055,"MODERADO"
"Volkswagen New Beetle GLS 1.8T 2dr",21055,"MODERADO"
"Acura RSX Type S 2dr",23820,"MODERADO"
"Acura TSX 4dr",26990,"MODERADO"
"Audi A4 1.8T 4dr",25940,"MODERADO"
"BMW 325i 4dr",28495,"MODERADO"
"Buick LeSabre Custom 4dr",26470,"MODERADO"
"Buick Regal LS 4dr",24895,"MODERADO"
"Buick Regal GS 4dr",28345,"MODERADO"
"Chevrolet Impala LS 4dr",25000,"MODERADO"
"Chevrolet Impala SS 4dr",27995,"MODERADO"
"Chevrolet Malibu LT 4dr",23495,"MODERADO"
"Chevrolet Monte Carlo SS 2dr",24225,"MODERADO"
"Chrysler 300M 4dr",29865,"MODERADO"
"Chrysler Concorde LX 4dr",24130,"MODERADO"
"Chrysler Concorde LXi 4dr",26860,"MODERADO"
"Chrvsler PT Cruiser GT 4dr",25955,"MODERADO"
"Chrysler Sebring convertible 2dr",25215,"MODERADO"
"Dodge Intrepid ES 4dr",24885,"MODERADO"
"Ford Crown Victoria 4dr",24345,"MODERADO"
"Ford Crown Victoria LX 4dr",27370,"MODERADO"
"Honda Accord LX V6 4dr",23760,"MODERADO"
"Honda Accord EX V6 2dr",26960,"MODERADO"
"Hyundai XG350 4dr",24589,"MODERADO"
"Hyundai XG350 L 4dr",26189,"MODERADO"
"Infiniti G35 4dr",28495,"MODERADO"
"Infiniti G35 Sport Coupe 2dr",29795,"MODERADO"
"Jaguar X-Type 2.5 4dr",29995,"MODERADO"
"Kia Amanti 4dr",26000,"MODERADO"
"Mercedes-Benz C230 Sport 2dr",26060,"MODERADO"
"Mercedes-Benz C320 Sport 2dr",28370,"MODERADO"
"Mercury Grand Marquis GS 4dr",24695,"MODERADO"
"Mercury Grand Marquis LS Premium 4dr",29595,"MODERADO"
"Mercury Sable LS Premium 4dr",23895,"MODERADO"
"Mitsubishi Diamante LS 4dr",29282,"MODERADO"
"Mitsubishi Galant GTS 4dr",25700,"MODERADO"
"Nissan Altima SE 4dr",23290,"MODERADO"
"Nissan Maxima SE 4dr",27490,"MODERADO"
"Nissan Maxima SL 4dr",29440,"MODERADO"
"Oldsmobile Alero GLS 2dr",23675,"MODERADO"
"Pontiac Grand Prix GT2 4dr",24295,"MODERADO"
"Subaru Legacy GT 4dr",25645,"MODERADO"
"Subaru Outback Limited Sedan 4dr",27145,"MODERADO"
"Subaru Outback H6 4dr",29345,"MODERADO"
"Toyota Avalon XL 4dr",26560,"MODERADO"
"Toyota Camry XLE V6 4dr",25920,"MODERADO"
"Toyota Camry Solara SLE V6 2dr",26510,"MODERADO"
"Volkswagen Jetta GLI VR6 4dr",23785,"MODERADO"
"Volkswagen New Beetle GLS convertible 2dr",23215,"MODERADO"
"Volkswagen Passat GLS 4dr",23955,"MODERADO"
"Volvo S40 4dr",25135,"MODERADO"
"Acura TL 4dr",33195,"MODERADO"
"Audi A41.8T convertible 2dr",35940,"ALTO"
"Audi A4 3.0 4dr",31840,"MODERADO"
"Audi A4 3.0 Quattro 4dr manual",33430,"MODERADO"
"Audi A4 3.0 Quattro 4dr auto",34480,"MODERADO"
"Audi A6 3.0 4dr",36640,"ALTO"
"Audi A6 3.0 Quattro 4dr",39640,"ALTO"
"BMW 325Ci 2dr",30795,"MODERADO"
"BMW 325Ci convertible 2dr",37995,"ALTO"
"BMW 325xi 4dr",30245,"MODERADO"
"BMW 330i 4dr",35495,"ALTO"
"BMW 330Ci 2dr",36995,"ALTO"
"BMW 330xi 4dr",37245,"ALTO"
"BMW 525i 4dr",39995,"ALTO"
"Buick LeSabre Limited 4dr",32245,"MODERADO"
"Buick Park Avenue 4dr",35545,"ALTO"
"Cadillac CTS VVT 4dr",30835,"MODERADO"
"Chrysler 300M Special Edition 4dr",33295,"MODERADO"
"Chrysler Sebring Limited convertible 2dr",30950,"MODERADO"
"Ford Crown Victoria LX Sport 4dr",30315,"MODERADO"
"Infiniti G35 4dr",32445,"MODERADO"
"Infiniti I35 4dr",31145,"MODERADO"
"Jaguar X-Type 3.0 4dr",33995,"MODERADO"
"Lexus ES 330 4dr",32350,"MODERADO"
"Lexus IS 300 4dr manual",31045,"MODERADO"
"Lexus IS 300 4dr auto",32415,"MODERADO"
"Lincoln LS V6 Luxury 4dr",32495,"MODERADO"
"Lincoln LS V6 Premium 4dr",36895,"ALTO"
"Mercedes-Benz C240 4dr",32280,"MODERADO"
"Mercedes-Benz C240 4dr",33480,"MODERADO"
"Mercedes-Benz C320 Sport 4dr",35920,"ALTO"
"Mercedes-Benz C320 4dr",37630,"ALTO"
"Mercedes-Benz C320 4dr",38830,"ALTO"
"Mercury Grand Marquis LS Ultimate 4dr",30895,"MODERADO"
"Mercury Marauder 4dr",34495,"MODERADO"
"Pontiac Bonneville GXP 4dr",35995,"ALTO"
"Saab 9-3 Arc Sport 4dr",30860,"MODERADO"
"Saab 9-3 Aero 4dr",33360,"MODERADO"
"Saab 9-5 Arc 4dr",35105,"ALTO"
"Saab 9-5 Aero 4dr",39465,"ALTO"
"Subaru Outback H-6 VDC 4dr",31545,"MODERADO"
"Toyota Avalon XLS 4dr",30920,"MODERADO"
"Volkswagen Passat GLX V6 4MOTION 4dr",33180,"MODERADO"
"Volkswagen Passat W8 4MOTION 4dr",39235,"ALTO"
"Volvo S60 2.5 4dr",31745,"MODERADO"
"Volvo S60 T5 4dr",34845,"MODERADO"
"Volvo S60 R 4dr",37560,"ALTO"
"Volvo S80 2.9 4dr",37730,"ALTO"
"Volvo S80 2.5T 4dr",37885,"ALTO"
"Acura 3.5 RL 4dr",43755,"ALTO"
"Acura 3.5 RL w/Navigation 4dr",46100,"ALTO"
"Audi A4 3.0 convertible 2dr",42490,"ALTO"
"Audi A4 3.0 Quattro convertible 2dr",44240,"ALTO"
"Audi A6 2.7 Turbo Quattro 4dr",42840,"ALTO"
"Audi A6 4.2 Quattro 4dr",49690,"ALTO"
"Audi A8 L Quattro 4dr",69190,"ALTO"
"Audi S4 Quattro 4dr",48040,"ALTO"
"BMW 330Ci convertible 2dr",44295,"ALTO"
"BMW 530i 4dr",44995,"ALTO"
"BMW 545iA 4dr",54995,"ALTO"
"BMW 745i 4dr",69195,"ALTO"
"BMW 745Li 4dr",73195,"ALTO"
"Buick Park Avenue Ultra 4dr",40720,"ALTO"
"Cadillac Deville 4dr",45445,"ALTO"
"Cadillac Deville DTS 4dr",50595,"ALTO"
"Cadillac Seville SLS 4dr",47955,"ALTO"
"Infiniti M45 4dr",42845,"ALTO"
"Infiniti Q45 Luxury 4dr",52545,"ALTO"
"Jaguar S-Type 3.0 4dr",43895,"ALTO"
"Jaguar S-Type 4.2 4dr",49995,"ALTO"
"Jaguar S-Type R 4dr",63120,"ALTO"
"Jaguar Vanden Plas 4dr",68995,"ALTO"
"Jaguar XJ8 4dr",59995,"ALTO"
"Jaguar XJR 4dr",74995,"ALTO"
"Lexus GS 300 4dr",41010,"ALTO"
"Lexus GS 430 4dr",48450,"ALTO"
"Lexus LS 430 4dr",55750,"ALTO"
"Lincoln LS V8 Sport 4dr",40095,"ALTO"
"Lincoln LS V8 Ultimate 4dr",43495,"ALTO"
"Lincoln Town Car Signature 4dr",41815,"ALTO"
"Lincoln Town Car Ultimate 4dr",44925,"ALTO"
"Lincoln Town Car Ultimate L 4dr",50470,"ALTO"
"Mercedes-Benz C32 AMG 4dr",52120,"ALTO"
"Mercedes-Benz CL500 2dr",94820,"ALTO"
"Mercedes-Benz CL600 2dr",128420,"ALTO"
"Mercedes-Benz CLK320 coupe 2dr (convertible)",45707,"ALTO"
"Mercedes-Benz CLK500 coupe 2dr (convertible)",52800,"ALTO"
"Mercedes-Benz E320 4dr",48170,"ALTO"
"Mercedes-Benz E500 4dr",57270,"ALTO"
"Mercedes-Benz S430 4dr",74320,"ALTO"
"Mercedes-Benz S500 4dr",86970,"ALTO"
"Saab 9-3 Arc convertible 2dr",40670,"ALTO"
"Saab 9-3 Aero convertible 2dr",43175,"ALTO"
"Volkswagen Phaeton 4dr",65000,"ALTO"
"Volkswagen Phaeton W12 4dr",75000,"ALTO"
"Volvo C70 LPT convertible 2dr",40565,"ALTO"
"Volvo C70 HPT convertible 2dr",42565,"ALTO"
"Volvo S80 T6 4dr",45210,"ALTO"
"Acura NSX coupe 2dr manual S",89765,"ALTO"
"Audi RS 6 4dr",84600,"ALTO"
"Audi TT 1.8 convertible 2dr (coupe)",35940,"ALTO"
"Audi TT 1.8 Quattro 2dr (convertible)",37390,"ALTO"
"Audi TT 3.2 coupe 2dr (convertible)",40590,"ALTO"
"BMW M3 coupe 2dr",48195,"ALTO"
"BMW M3 convertible 2dr",56595,"ALTO"
"BMW Z4 convertible 2.5i 2dr",33895,"MODERADO"
"BMW Z4 convertible 3.0i 2dr",41045,"ALTO"
"Cadillac XLR convertible 2dr",76200,"ALTO"
"Chevrolet Corvette 2dr",44535,"ALTO"
"Chevrolet Corvette convertible 2dr",51535,"ALTO"
"Chrysler Crossfire 2dr",34495,"MODERADO"
"Dodge Viper SRT-10 convertible 2dr",81795,"ALTO"
"Ford Mustang 2dr (convertible)",18345,"BAJO"
"Ford Mustang GT Premium convertible 2dr",29380,"MODERADO"
"Ford Thunderbird Deluxe convert w/hardtop 2dr",37530,"ALTO"
"Honda S2000 convertible 2dr",33260,"MODERADO"
"Hyundai Tiburon GT V6 2dr",18739,"BAJO"
"Jaguar XK8 coupe 2dr",69995,"ALTO"
"Jaguar XK8 convertible 2dr",74995,"ALTO"
"Jaguar XKR coupe 2dr",81995,"ALTO"
"Jaguar XKR convertible 2dr",86995,"ALTO"
"Lexus SC 430 convertible 2dr",63200,"ALTO"
"Mazda MX-5 Miata convertible 2dr",22388,"MODERADO"
"Mazda MX-5 Miata LS convertible 2dr",25193,"MODERADO"
"Mazda RX-8 4dr automatic",25700,"MODERADO"
"Mazda RX-8 4dr manual",27200,"MODERADO"
"Mercedes-Benz SL500 convertible 2dr",90520,"ALTO"
"Mercedes-Benz SL55 AMG 2dr",121770,"ALTO"
"Mercedes-Benz SL600 convertible 2dr",126670,"ALTO"
"Mercedes-Benz SLK230 convertible 2dr",40320,"ALTO"
"Mercedes-Benz SLK32 AMG 2dr",56170,"ALTO"
"Mitsubishi Eclipse GTS 2dr",25092,"MODERADO"
"Mitsubishi Eclipse Spyder GT convertible 2dr",26992,"MODERADO"
"Mitsubishi Lancer Evolution 4dr",29562,"MODERADO"
"Nissan 350Z coupe 2dr",26910,"MODERADO"
"Nissan 350Z Enthusiast convertible 2dr",34390,"MODERADO"
"Pontiac GTO 2dr",33500,"MODERADO"
"Porsche 911 Carrera convertible 2dr (coupe)",79165,"ALTO"
"Porsche 911 Carrera 4S coupe 2dr (convert)",84165,"ALTO"
"Porsche 911 Targa coupe 2dr",76765,"ALTO"
"Porsche 911 GT2 2dr",192465,"ALTO"
"Porsche Boxster convertible 2dr",43365,"ALTO"
"Porsche Boxster S convertible 2dr",52365,"ALTO"
"Subaru Impreza WRX 4dr",25045,"MODERADO"
"Subaru Impreza WRX STi 4dr",31545,"MODERADO"
"Toyota Celica GT-S 2dr",22570,"MODERADO"
"Toyota MR2 Spyder convertible 2dr",25130,"MODERADO"
"Cadillac Escaladet",52795,"ALTO"
"Cadillac SRX V8",46995,"ALTO"
"Chevrolet Suburban 1500 LT",42735,"ALTO"
"Chevrolet Tahoe LT",41465,"ALTO"
"Dodge Durango SLT",32235,"MODERADO"
"Ford Excursion 6.8 XLT",41475,"ALTO"
"Ford Expedition 4.6 XLT",34560,"MODERADO"
"GMC Envoy XUV SLE",31890,"MODERADO"
"CMC Yukon 1500 SLE",35725,"ALTO"
"GMC Yukon XL 2500 SLT",46265,"ALTO"
"Hummer H2",49995,"ALTO"
"Isuzu Ascender S",31849,"MODERADO"
"Lincoln Navigator Luxury",52775,"ALTO"
"Nissan Pathfinder Armada SE",33840,"MODERADO"
"Toyota Sequoia SR5",35695,"ALTO"
"Acura MDX",36945,"ALTO"
"BMW X3 3.0i",37000,"ALTO"
"BMW X5 4.4i",52195,"ALTO"
"Buick Rainier",37895,"ALTO"
"Buick Rendezvous CX",26545,"MODERADO"
"Chevrolet TrailBlazer LT",30295,"MODERADO"
"Ford Explorer XLT V6",29670,"MODERADO"
"Honda Pilot LX",27560,"MODERADO"
"Isuzu Rodeo S",20449,"MODERADO"
"Jeep Grand Cherokee Laredo",27905,"MODERADO"
"Kia Sorento LX",19635,"BAJO"
"Land Rover Range Rover HSE",72250,"ALTO"
"Lexus GX 470",45700,"ALTO"
"Lexus LX 470",64800,"ALTO"
"Lexus RX 330",39195,"ALTO"
"Lincoln Aviator Ultimate",42915,"ALTO"
"Mercedes-Benz G500",76870,"ALTO"
"Mercedes-Benz ML500",46470,"ALTO"
"Mercury Mountaineer",29995,"MODERADO"
"Mitsubishi Endeavor XLS",30492,"MODERADO"
"Mitsubishi Montero XLS",33112,"MODERADO"
"Nissan Pathfinder SE",27339,"MODERADO"
"Pontiac Aztekt",21595,"MODERADO"
"Porsche Cayenne S",56665,"ALTO"
"Saturn VUE",20585,"MODERADO"
"Suzuki XL-7 EX",23699,"MODERADO"
"Toyota 4Runner SR5 V6",27710,"MODERADO"
"Toyota Highlander V6",27930,"MODERADO"
"Toyota Land Cruiser",54765,"ALTO"
"Volkswagen Touareg V6",35515,"ALTO"
"Volvo XC90 T6",41250,"ALTO"
"Chevrolet Tracker",20255,"MODERADO"
"Ford Escape XLS",22515,"MODERADO"
"Honda CR-V LX",19860,"BAJO"
"Honda Element LX",18690,"BAJO"
"Hyundai Santa Fe GLS",21589,"MODERADO"
"Jeep Liberty Sport",20130,"MODERADO"
"Jeep Wrangler Sahara convertible 2dr",25520,"MODERADO"
"Land Rover Discovery SE",39250,"ALTO"
"Land Rover Freelander SE",25995,"MODERADO"
"Mazda Tribute DX 2.0",21087,"MODERADO"
"Mitsubishi Outlander LS",18892,"BAJO"
"Nissan Xterra XE V6",20939,"MODERADO"
"Suzuki Vitara LX",17163,"BAJO"
"Toyota RAV4",20290,"MODERADO"
"Audi A6 3.0 Avant Quattro",40840,"ALTO"
"Audi S4 Avant Quattro",49090,"ALTO"
"BMW 325xi Sport",32845,"MODERADO"
"Chevrolet Malibu Maxx LS",22225,"MODERADO"
"Chrysler Pacifica",31230,"MODERADO"
"Ford Focus ZTW",17475,"BAJO"
"Ford Taurus SE",22290,"MODERADO"
"Infiniti FX35",34895,"MODERADO"
"Infiniti FX45",36395,"ALTO"
"Kia Rio Cinco",11905,"BAJO"
"Lexus IS 300 SportCross",32455,"MODERADO"
"Mercedes-Benz C240",33780,"MODERADO"
"Mercedes-Benz E320",50670,"ALTO"
"Mercedes-Benz E500",60670,"ALTO"
"Mercury Sable GS",22595,"MODERADO"
"Mitsubishi Lancer Sportback LS",17495,"BAJO"
"Nissan Murano SL",28739,"MODERADO"
"Pontiac Vibe",17045,"BAJO"
"Saab 9-5 Aero",40845,"ALTO"
"Saturn L300 2",23560,"MODERADO"
"Scion xB",14165,"BAJO"
"Subaru Forester X",21445,"MODERADO"
"Subaru Outback",23895,"MODERADO"
"Suzuki Aerio SX",16497,"BAJO"
"Toyota Matrix XR",16695,"BAJO"
"Volkswagen Jetta GL",19005,"BAJO"
"Volkswagen Passat GLS 1.8T",24955,"MODERADO"
"Volkswagen Passat W8",40235,"ALTO"
"Volvo V40",26135,"MODERADO"
"Volvo XC70",35145,"ALTO"
"Chevrolet Astro",26395,"MODERADO"
"Chevrolet Venture LS",27020,"MODERADO"
"Chrysler Town and Country LX",27490,"MODERADO"
"Chrysler Town and Country Limited",38380,"ALTO"
"Dodge Caravan SE",21795,"MODERADO"
"Dodge Grand Caravan SXT",32660,"MODERADO"
"Ford Freestar SE",26930,"MODERADO"
"GMC Safari SLE",25640,"MODERADO"
"Honda Odyssey LX",24950,"MODERADO"
"Honda Odyssey EX",27450,"MODERADO"
"Kia Sedona LX",20615,"MODERADO"
"Mazda MPV ES",28750,"MODERADO"
"Mercury Monterey Luxury",33995,"MODERADO"
"Nissan Quest S",24780,"MODERADO"
"Nissan Quest SE",32780,"MODERADO"
"Oldsmobile Silhouette GL",28790,"MODERADO"
"Pontiac Montana",23845,"MODERADO"
"Pontiac Montana EWB",31370,"MODERADO"
"Toyota Sienna CE",23495,"MODERADO"
"Toyota Sienna XLE Limited",28800,"MODERADO"
"Cadillac Escalade EXT",52975,"ALTO"
"Chevrolet Avalanche 1500",36100,"ALTO"
"Chevrolet Colorado Z85",18760,"BAJO"
"Chevrolet Silverado 1500 Regular Cab",20310,"MODERADO"
"Chevrolet Silverado SS",40340,"ALTO"
"Chevrolet SSR",41995,"ALTO"
"Dodge Dakota Regular Cab",17630,"BAJO"
"Dodge Dakota Club Cab",20300,"MODERADO"
"Dodge Ram 1500 Regular Cab ST",20215,"MODERADO"
"Ford F-150 Regular Cab XL",22010,"MODERADO"
"Ford F-150 Supercab Lariat",33540,"MODERADO"
"Ford Ranger 2.3 XL Regular Cab",14385,"BAJO"
"GMC Canyon Z85 SL Regular Cab",16530,"BAJO"
"GMC Sierra Extended Cab 1500",25717,"MODERADO"
"GMC Sierra HD 2500",29322,"MODERADO"
"GMC Sonoma Crew Cab",25395,"MODERADO"
"Mazda B2300 SX Regular Cab",14840,"BAJO"
"Mazda B4000 SE Cab Plus",22350,"MODERADO"
"Nissan Frontier King Cab XE V6",19479,"BAJO"
"Nissan Titan King Cab XE",26650,"MODERADO"
"Subaru Baja",24520,"MODERADO"
"Toyota Tacoma",12800,"BAJO"
"Toyota Tundra Regular Cab V6",16495,"BAJO"
"Toyota Tundra Access Cab V6 SR5",25935,"MODERADO"
